 Time   , MAC Adress      ,dBm,Serached for SSID
22:30:35,6c:ad:f8:6f:f7:5a,-87,FRITZ!Box WLAN 3270
22:30:37,f4:f5:e8:3f:50:46,-87,Home&Life SuperWiFi-EE09
22:30:45,84:f3:eb:ba:f5:4f,-79,WifiCasaRM
22:30:50,20:df:b9:87:7d:21,-84,Asimov
22:30:51,ac:5f:3e:d4:a6:e3,-68,AndroidShare_6420
22:30:52,f4:f5:d8:8e:2d:84,-90,Vodafone-A42233611
22:31:07,a8:54:b2:0e:09:00,-90,Alice Gatta
22:31:12,dc:fb:48:a8:a9:d5,-92,FASTWEB-B5C2AB
22:31:54,e4:f0:42:17:45:9e,-88,Vodafone-A61171252
22:32:32,48:d7:05:b0:38:af,-72,Vodafone-A81258403
22:33:01,04:4f:4c:d3:2d:c6,-84,Uai-Fai
22:33:05,a4:77:33:a7:7d:2c,-89,FASTWEB-1-kbXptYWOaLvb
22:33:07,4c:dd:31:88:21:4c,-84,arianna
22:34:53,e8:b2:fe:c8:6b:9c,-86,Vodafone-A42233611
22:35:03,da:a1:19:58:8f:71,-89,Mascherpa_Guest_s
22:35:17,9e:5c:f9:e9:21:3f,-41,DIRECT-
22:35:53,6c:71:d9:91:fd:f1,-70,Vodafone-A81258403
22:36:11,48:e9:f1:da:aa:91,-86,ALHN-D6F2
22:38:17,da:a1:19:40:f9:8a,-87,VodafoneGasgas
22:38:24,ac:7b:a1:b5:34:ed,-61,Vodafone-A81258403
22:38:31,74:29:af:e9:25:eb,-67,Home&Life SuperWiFi-B94D
22:38:45,6c:c7:ec:ce:35:2e,-86,Vodafone-48375748
22:39:25,fc:1d:43:3e:5a:cd,-84,Vodafone-A81258403
